Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-06 00:00:00-04:00,1279.5,1287.25,1263.5,1266.0,156382,0.0,0.0
2023-10-09 00:00:00-04:00,1267.0,1277.5,1258.25,1264.25,162794,0.0,0.0
2023-10-10 00:00:00-04:00,1263.0,1273.25,1254.25,1271.5,161646,0.0,0.0
2023-10-11 00:00:00-04:00,1271.5,1274.25,1251.0,1252.5,185252,0.0,0.0
2023-10-12 00:00:00-04:00,1252.5,1299.75,1250.5,1290.0,235474,0.0,0.0
2023-10-13 00:00:00-04:00,1286.75,1298.5,1273.5,1280.25,139748,0.0,0.0
2023-10-16 00:00:00-04:00,1280.0,1289.0,1279.5,1286.25,111494,0.0,0.0
2023-10-17 00:00:00-04:00,1286.0,1303.5,1285.5,1296.75,135410,0.0,0.0
2023-10-18 00:00:00-04:00,1297.0,1313.0,1293.25,1311.0,163209,0.0,0.0
2023-10-19 00:00:00-04:00,1311.0,1317.75,1300.25,1315.5,182300,0.0,0.0
2023-10-20 00:00:00-04:00,1315.0,1318.5,1301.0,1302.25,143729,0.0,0.0
2023-10-23 00:00:00-04:00,1302.0,1304.0,1286.0,1286.75,119491,0.0,0.0
2023-10-24 00:00:00-04:00,1287.0,1297.75,1280.5,1295.25,125254,0.0,0.0
2023-10-25 00:00:00-04:00,1293.0,1301.25,1278.0,1288.25,111043,0.0,0.0
2023-10-26 00:00:00-04:00,1287.5,1297.75,1277.5,1279.5,105810,0.0,0.0
2023-10-27 00:00:00-04:00,1279.25,1303.5,1277.75,1297.25,108290,0.0,0.0
2023-10-30 00:00:00-04:00,1297.0,1308.75,1281.0,1282.75,77497,0.0,0.0
2023-10-31 00:00:00-04:00,1283.0,1300.0,1276.0,1287.0,7814,0.0,0.0
2023-11-01 00:00:00-04:00,1290.0,1296.75,1283.25,1291.25,2816,0.0,0.0
2023-11-02 00:00:00-04:00,1290.25,1306.25,1290.25,1304.0,1729,0.0,0.0
2023-11-03 00:00:00-04:00,1303.5,1330.0,1302.25,1327.5,2203,0.0,0.0
2023-11-06 00:00:00-05:00,1327.5,1345.25,1327.5,1340.5,1020,0.0,0.0
2023-11-07 00:00:00-05:00,1339.5,1366.0,1336.5,1348.75,2165,0.0,0.0
2023-11-08 00:00:00-05:00,1352.0,1368.75,1348.0,1349.0,217,0.0,0.0
2023-11-09 00:00:00-05:00,1351.0,1353.5,1326.5,1327.75,92,0.0,0.0
2023-11-10 00:00:00-05:00,1328.0,1335.0,1325.25,1333.5,163,0.0,0.0
2023-11-13 00:00:00-05:00,1335.0,1369.0,1333.75,1368.0,284,0.0,0.0
2023-11-14 00:00:00-05:00,1372.0,1372.0,1358.5,1368.75,121756,0.0,0.0
2023-11-15 00:00:00-05:00,1389.0,1398.5,1379.5,1385.0,112125,0.0,0.0
2023-11-16 00:00:00-05:00,1385.0,1387.75,1353.75,1360.25,139084,0.0,0.0
2023-11-17 00:00:00-05:00,1360.0,1361.5,1336.75,1340.25,125658,0.0,0.0
2023-11-20 00:00:00-05:00,1339.25,1368.0,1327.0,1367.25,126688,0.0,0.0
2023-11-21 00:00:00-05:00,1365.5,1389.25,1364.0,1377.25,131504,0.0,0.0
2023-11-22 00:00:00-05:00,1377.0,1378.5,1354.25,1356.5,123978,0.0,0.0
2023-11-24 00:00:00-05:00,1354.5,1355.0,1329.5,1330.75,79518,0.0,0.0
2023-11-27 00:00:00-05:00,1329.5,1339.0,1323.5,1329.75,108127,0.0,0.0
2023-11-28 00:00:00-05:00,1330.25,1350.0,1329.5,1346.5,122211,0.0,0.0
2023-11-29 00:00:00-05:00,1346.5,1352.0,1337.0,1347.0,110829,0.0,0.0
2023-11-30 00:00:00-05:00,1347.0,1351.5,1339.25,1342.75,106352,0.0,0.0
2023-12-01 00:00:00-05:00,1342.0,1343.5,1323.5,1325.0,133231,0.0,0.0
2023-12-04 00:00:00-05:00,1322.5,1329.25,1303.5,1306.25,145541,0.0,0.0
2023-12-05 00:00:00-05:00,1307.25,1315.25,1294.0,1305.5,127531,0.0,0.0
2023-12-06 00:00:00-05:00,1309.25,1313.5,1293.75,1295.5,114902,0.0,0.0
2023-12-07 00:00:00-05:00,1296.0,1318.25,1292.0,1311.75,142340,0.0,0.0
2023-12-08 00:00:00-05:00,1312.5,1330.75,1299.0,1304.0,143886,0.0,0.0
2023-12-11 00:00:00-05:00,1309.5,1338.5,1307.0,1336.0,156810,0.0,0.0
2023-12-12 00:00:00-05:00,1337.25,1344.0,1320.5,1323.75,151132,0.0,0.0
2023-12-13 00:00:00-05:00,1323.0,1323.5,1302.5,1307.5,134421,0.0,0.0
2023-12-14 00:00:00-05:00,1311.0,1319.25,1304.0,1314.0,92835,0.0,0.0
2023-12-15 00:00:00-05:00,1317.0,1320.5,1304.0,1315.75,104871,0.0,0.0
2023-12-18 00:00:00-05:00,1318.0,1328.0,1307.0,1327.0,105952,0.0,0.0
2023-12-19 00:00:00-05:00,1326.5,1328.75,1309.5,1312.5,136922,0.0,0.0
2023-12-20 00:00:00-05:00,1312.5,1321.75,1305.5,1308.25,101196,0.0,0.0
2023-12-21 00:00:00-05:00,1309.5,1310.0,1295.0,1297.25,71637,0.0,0.0
2023-12-22 00:00:00-05:00,1296.75,1308.0,1294.0,1299.75,52365,0.0,0.0
2023-12-26 00:00:00-05:00,1299.75,1314.5,1296.0,1313.25,34317,0.0,0.0
2023-12-27 00:00:00-05:00,1310.5,1318.75,1303.0,1316.75,37407,0.0,0.0
2023-12-28 00:00:00-05:00,1315.75,1324.25,1303.0,1305.25,23869,0.0,0.0
2023-12-29 00:00:00-05:00,1304.75,1311.75,1292.25,1293.5,6682,0.0,0.0
2024-01-02 00:00:00-05:00,1289.5,1289.5,1266.0,1274.0,2675,0.0,0.0
2024-01-03 00:00:00-05:00,1271.5,1275.25,1268.0,1269.5,2363,0.0,0.0
2024-01-04 00:00:00-05:00,1274.25,1274.25,1260.25,1262.0,353,0.0,0.0
2024-01-05 00:00:00-05:00,1261.25,1261.25,1249.75,1249.75,1000,0.0,0.0
2024-01-08 00:00:00-05:00,1252.75,1252.75,1233.25,1239.5,255,0.0,0.0
2024-01-09 00:00:00-05:00,1238.5,1243.0,1228.75,1241.5,158,0.0,0.0
2024-01-10 00:00:00-05:00,1241.5,1241.5,1228.75,1228.75,307,0.0,0.0
2024-01-11 00:00:00-05:00,1234.0,1235.5,1231.25,1231.25,220,0.0,0.0
2024-01-12 00:00:00-05:00,1239.75,1240.25,1205.75,1205.75,237245,0.0,0.0
2024-01-16 00:00:00-05:00,1227.0,1237.75,1220.75,1227.25,140122,0.0,0.0
2024-01-17 00:00:00-05:00,1227.25,1231.0,1205.0,1205.75,138322,0.0,0.0
2024-01-18 00:00:00-05:00,1206.0,1216.0,1201.0,1213.5,112771,0.0,0.0
2024-01-19 00:00:00-05:00,1213.0,1227.0,1210.75,1213.25,96455,0.0,0.0
2024-01-22 00:00:00-05:00,1216.75,1225.75,1209.5,1224.25,94437,0.0,0.0
2024-01-23 00:00:00-05:00,1224.25,1240.5,1221.5,1239.5,107718,0.0,0.0
2024-01-24 00:00:00-05:00,1239.0,1246.0,1235.25,1240.25,130579,0.0,0.0
2024-01-25 00:00:00-05:00,1240.0,1247.5,1215.5,1223.0,138526,0.0,0.0
2024-01-26 00:00:00-05:00,1223.5,1230.75,1208.5,1209.25,112232,0.0,0.0
2024-01-29 00:00:00-05:00,1210.75,1212.5,1191.5,1194.25,160776,0.0,0.0
2024-01-30 00:00:00-05:00,1193.75,1221.25,1187.75,1218.75,133600,0.0,0.0
2024-01-31 00:00:00-05:00,1218.75,1223.0,1206.75,1222.25,131031,0.0,0.0
2024-02-01 00:00:00-05:00,1221.25,1221.75,1199.5,1203.25,117651,0.0,0.0
2024-02-02 00:00:00-05:00,1203.25,1208.25,1186.75,1188.5,101687,0.0,0.0
2024-02-05 00:00:00-05:00,1190.0,1198.5,1179.5,1196.25,133159,0.0,0.0
2024-02-06 00:00:00-05:00,1196.0,1205.5,1193.75,1199.5,104104,0.0,0.0
2024-02-07 00:00:00-05:00,1199.0,1202.0,1179.25,1189.0,137235,0.0,0.0
2024-02-08 00:00:00-05:00,1187.0,1204.75,1180.5,1193.5,165204,0.0,0.0
2024-02-09 00:00:00-05:00,1195.0,1198.0,1181.5,1183.5,120117,0.0,0.0
2024-02-12 00:00:00-05:00,1183.75,1196.75,1182.5,1193.0,114463,0.0,0.0
2024-02-13 00:00:00-05:00,1191.75,1197.5,1183.0,1186.25,132884,0.0,0.0
2024-02-14 00:00:00-05:00,1186.25,1190.0,1168.25,1170.5,128628,0.0,0.0
2024-02-15 00:00:00-05:00,1168.0,1174.75,1160.25,1162.25,135571,0.0,0.0
2024-02-16 00:00:00-05:00,1163.75,1173.75,1162.25,1172.25,99941,0.0,0.0
2024-02-20 00:00:00-05:00,1177.75,1188.5,1174.0,1179.0,145020,0.0,0.0
2024-02-21 00:00:00-05:00,1179.0,1179.25,1157.5,1160.75,113652,0.0,0.0
2024-02-22 00:00:00-05:00,1161.0,1167.25,1146.75,1147.75,136672,0.0,0.0
